timestamp,ridlserver02,ridlserver04,ridlserver05,ridlserver11,ridlserver12,total_watts
2025-09-22T11:52:50.297-05:00,134,84,134,96,160,608
2025-09-22T11:52:51.389-05:00,134,83,134,97,160,608
2025-09-22T11:52:53.301-05:00,136,83,134,97,160,610
2025-09-22T11:52:55.071-05:00,135,84,134,97,160,610
2025-09-22T11:52:56.302-05:00,136,84,136,96,160,612
2025-09-22T11:52:57.302-05:00,136,83,136,95,161,611
2025-09-22T11:52:59.067-05:00,136,83,136,95,161,611
2025-09-22T11:53:00.301-05:00,136,83,134,96,159,608
2025-09-22T11:53:02.061-05:00,135,83,134,97,159,608
2025-09-22T11:53:03.301-05:00,136,90,135,95,160,616
2025-09-22T11:53:05.044-05:00,136,90,135,95,160,616
2025-09-22T11:53:06.298-05:00,135,82,135,95,161,608
2025-09-22T11:53:07.651-05:00,136,83,135,96,161,611
2025-09-22T11:53:09.301-05:00,136,84,135,95,160,610
2025-09-22T11:53:10.301-05:00,136,85,135,95,160,611
2025-09-22T11:53:11.993-05:00,135,84,134,96,159,608
2025-09-22T11:53:13.541-05:00,137,84,135,96,162,614
2025-09-22T11:53:15.301-05:00,135,89,134,95,160,613
2025-09-22T11:53:16.301-05:00,135,81,134,96,160,606
2025-09-22T11:53:17.923-05:00,135,82,134,96,160,607
2025-09-22T11:53:19.497-05:00,136,82,134,96,161,609
2025-09-22T11:53:21.299-05:00,137,84,135,96,161,613
2025-09-22T11:53:22.299-05:00,137,82,135,96,162,612
2025-09-22T11:53:23.937-05:00,136,82,135,96,162,611
2025-09-22T11:53:25.427-05:00,135,82,135,96,161,609
2025-09-22T11:53:27.299-05:00,137,83,135,94,161,610
2025-09-22T11:53:28.300-05:00,137,83,135,96,161,612
2025-09-22T11:53:29.906-05:00,135,83,135,96,161,610
2025-09-22T11:53:31.961-05:00,136,83,135,96,162,612
2025-09-22T11:53:33.300-05:00,136,84,135,95,160,610
2025-09-22T11:53:34.300-05:00,137,100,136,97,160,630
2025-09-22T11:53:35.434-05:00,137,100,136,97,160,630
2025-09-22T11:53:37.297-05:00,134,0,135,0,160,429
2025-09-22T11:53:53.361-05:00,135,83,135,95,160,608
2025-09-22T11:53:55.687-05:00,135,91,135,95,160,616
2025-09-22T11:53:57.299-05:00,136,83,134,95,160,608
2025-09-22T11:53:58.295-05:00,136,84,136,96,160,612
2025-09-22T11:53:59.387-05:00,136,84,136,96,160,612
2025-09-22T11:54:01.299-05:00,135,84,136,94,160,609
2025-09-22T11:54:02.295-05:00,135,85,136,94,159,609
2025-09-22T11:54:03.299-05:00,136,83,135,95,160,609
2025-09-22T11:54:04.299-05:00,136,83,135,95,160,609
2025-09-22T11:54:05.351-05:00,136,83,135,95,160,609
2025-09-22T11:54:07.297-05:00,136,83,136,96,161,612
2025-09-22T11:54:08.298-05:00,135,83,135,96,161,610
2025-09-22T11:54:09.298-05:00,136,83,135,94,160,608
2025-09-22T11:54:10.298-05:00,136,83,134,96,161,610
2025-09-22T11:54:12.183-05:00,135,86,134,96,161,612
2025-09-22T11:54:13.781-05:00,135,86,134,96,161,612
2025-09-22T11:54:15.294-05:00,136,83,135,96,161,611
2025-09-22T11:54:16.294-05:00,136,83,136,96,161,612
2025-09-22T11:54:18.146-05:00,135,82,137,97,162,613
2025-09-22T11:54:19.786-05:00,136,82,134,97,161,610
2025-09-22T11:54:21.296-05:00,135,85,135,96,161,612
2025-09-22T11:54:22.293-05:00,135,82,135,95,162,609
2025-09-22T11:54:24.254-05:00,136,82,135,95,162,610
2025-09-22T11:54:25.724-05:00,135,97,134,95,160,621
2025-09-22T11:54:27.298-05:00,135,83,134,95,161,608
2025-09-22T11:54:28.298-05:00,135,83,134,96,160,608
2025-09-22T11:54:29.805-05:00,135,83,134,96,160,608
2025-09-22T11:54:31.294-05:00,136,84,135,96,160,611
2025-09-22T11:54:32.297-05:00,135,84,134,96,160,609
2025-09-22T11:54:33.297-05:00,135,84,134,94,161,608
2025-09-22T11:54:34.297-05:00,135,82,134,96,161,608
2025-09-22T11:54:36.223-05:00,135,82,135,96,161,609
2025-09-22T11:54:38.058-05:00,135,82,134,96,160,607
2025-09-22T11:54:39.297-05:00,136,83,135,96,160,610
2025-09-22T11:54:40.293-05:00,136,84,135,95,161,611
2025-09-22T11:54:42.127-05:00,136,84,134,96,161,611
2025-09-22T11:54:43.748-05:00,135,84,134,96,161,610
2025-09-22T11:54:45.297-05:00,134,84,135,95,161,609
2025-09-22T11:54:46.294-05:00,134,93,135,97,160,619
2025-09-22T11:54:47.759-05:00,136,93,135,97,160,621
2025-09-22T11:54:49.294-05:00,134,82,136,95,162,609
2025-09-22T11:54:50.297-05:00,135,82,135,95,161,608
2025-09-22T11:54:51.297-05:00,136,83,135,95,161,610
2025-09-22T11:54:52.297-05:00,135,85,135,96,160,611
2025-09-22T11:54:55.503-05:00,136,85,135,96,161,613
2025-09-22T11:54:57.295-05:00,137,89,134,95,161,616
2025-09-22T11:54:58.296-05:00,137,86,134,121,161,639
2025-09-22T11:55:00.104-05:00,135,86,135,121,161,638
2025-09-22T11:55:01.618-05:00,136,86,134,96,160,612
2025-09-22T11:55:03.294-05:00,136,82,135,97,160,610
2025-09-22T11:55:04.296-05:00,136,84,134,96,161,611
2025-09-22T11:55:07.652-05:00,136,84,134,96,159,609
2025-09-22T11:55:09.778-05:00,134,83,134,97,161,609
2025-09-22T11:55:12.106-05:00,137,83,134,97,158,609
2025-09-22T11:55:13.296-05:00,136,83,134,97,160,610
2025-09-22T11:55:14.293-05:00,136,83,135,97,161,612
2025-09-22T11:55:15.295-05:00,134,83,134,97,161,609
2025-09-22T11:55:16.291-05:00,134,85,134,94,160,607
2025-09-22T11:55:17.657-05:00,134,85,134,94,160,607
2025-09-22T11:55:19.295-05:00,137,83,135,95,161,611
2025-09-22T11:55:20.293-05:00,136,83,134,95,161,609
2025-09-22T11:55:21.293-05:00,135,83,134,95,160,607
2025-09-22T11:55:22.294-05:00,135,86,134,96,160,611
2025-09-22T11:55:23.293-05:00,135,82,135,96,160,608
2025-09-22T11:55:24.292-05:00,135,83,135,97,162,612
2025-09-22T11:55:26.159-05:00,136,83,134,97,160,610
2025-09-22T11:55:27.295-05:00,136,81,134,95,161,607
2025-09-22T11:55:28.293-05:00,136,89,135,97,161,618
2025-09-22T11:55:30.156-05:00,135,89,135,97,161,617
2025-09-22T11:55:31.295-05:00,136,85,135,96,161,613
2025-09-22T11:55:32.290-05:00,136,85,135,96,159,611
2025-09-22T11:55:33.293-05:00,136,84,134,95,159,608
2025-09-22T11:55:34.292-05:00,136,84,134,95,161,610
2025-09-22T11:55:35.295-05:00,136,83,134,96,161,610
2025-09-22T11:55:36.295-05:00,135,84,134,95,161,609
2025-09-22T11:55:53.518-05:00,136,84,134,95,161,610
2025-09-22T11:55:55.294-05:00,135,83,134,95,160,607
2025-09-22T11:55:56.289-05:00,135,83,134,95,161,608
2025-09-22T11:55:57.290-05:00,135,84,134,96,161,610
2025-09-22T11:55:58.294-05:00,135,83,137,96,161,612
2025-09-22T11:56:00.122-05:00,135,83,137,96,161,612
2025-09-22T11:56:01.775-05:00,135,83,135,96,161,610
2025-09-22T11:56:03.293-05:00,135,83,135,94,161,608
2025-09-22T11:56:04.293-05:00,135,84,135,96,161,611
2025-09-22T11:56:05.908-05:00,135,84,135,96,161,611
2025-09-22T11:56:07.289-05:00,136,84,134,96,160,610
2025-09-22T11:56:08.289-05:00,136,84,135,95,160,610
2025-09-22T11:56:09.292-05:00,136,84,135,94,162,611
2025-09-22T11:56:10.293-05:00,135,83,135,95,160,608
